# name         phase        index
snPTF09cnd     -28.5248     -138.400
snPTF09cnd     -25.3464     -82.0000
snPTF09cnd     -18.1950     -119.600
snPTF09cnd     -1.50849     -162.800
snPTF09cnd      4.84828     -158.400
snPTF09cnd      19.9456     -133.200
snPTF09cnd      23.9186     -117.200
snPTF09cnd      28.6862     -181.200
snPTF09cnd      94.6377     -61.4000
snPTF09cnd      116.886     -94.0000
snPTF09cwl     -7.48153     -171.400
snPTF09cwl      13.9968     -143.600
snPTF09cwl      31.7719     -48.4000
snPTF09cwl      78.4317     -41.4000
snPTF09cwl      118.426     -10.6000
snPTF11dij      0.00000     -106.600
snPTF11dij      1.74978     -121.800
snPTF11dij      12.2485     -43.6000
snPTF11dij      18.3727     -83.4000
snPTF11dij      23.6220     -27.0000
snPTF11dij      45.4943     -41.6000
snPTF11rks     -11.7410     -68.6000
snPTF11rks     -8.38645     -88.4000
snPTF11rks      6.70916     -9.60000
snPTF11rks      42.7709     -13.0000
snPTF11rks      156.827      146.800
snPTF12dam     -24.3792     -116.800
snPTF12dam     -23.4763     -120.200
snPTF12dam     -2.70880      41.6000
snPTF12dam     0.902935     -124.200
snPTF12dam      21.6704     -128.200
snPTF12dam      57.7878     -29.8000
snPTF12dam      154.402     -113.800
sn2005ap     -2.80549     -115.800
sn2005ap      4.20823     -120.600
sn2006oz     -19.6221     -181.200
sn2007bi      49.6498     -12.4000
sn2010gx     -4.47118     -87.4000
sn2010gx     -5.28412     -126.600
sn2010gx      3.65824     -154.000
sn2010gx      10.1618     -140.200
sn2010gx      20.7300     -91.6000
sn2010gx      28.8594     -36.0000
sn2010gx      56.4995     -22.0000
sn2011ke      3.49987     -157.000
sn2011ke      9.62464     -81.0000
sn2011ke      18.3743     -38.4000
sn2011ke      25.3740     -28.6000
sn2011ke      33.2488     -18.0000
sn2011ke      39.3735     -37.0000
sn2011kf      24.0964     -22.6000
sn2011kf      50.6024      180.800
sn2012il      15.3191     -143.200
sn2012il      43.4043     -45.2000
sn2012il      55.3192      40.4000
sn2013dg      3.55731     -158.000
snLSQ12dlf      6.40000     -106.400
snLSQ12dlf      8.00000     -68.2000
snLSQ12dlf      15.2000     -40.8000
snLSQ12dlf      20.0000     -18.4000
snLSQ12dlf      32.8000     -35.8000
snLSQ12dlf      43.2000     -32.4000
snPTF11rks    -0.838645     -23.0000
snPTF11rks      5.87051     -21.6000
snPTF11rks      13.4183     -28.6000
snPTF11rks      44.4482     -5.20000
snPTF12dam     -8.12641     -60.4000
snPTF12dam     -14.4470     -130.200
snPTF12dam     -20.7675     -111.600
snPTF12dam     -21.6704     -174.000
snPTF12dam     -22.5734     -118.600
snPTF12dam      3.61174     -92.8000
snPTF12dam      7.22348     -97.8000
snPTF12dam      10.8352     -81.6000
snPTF12dam      27.0880     -104.000
snPTF12dam      47.8555     -98.0000
snPTF12dam      57.7878     -73.6000
snPTF12dam      87.5847     -32.6000
snPTF12dam      165.237     -83.4000
snSSS120810      8.73702     -124.200
snSSS120810      9.60208     -127.600
snSSS120810      14.7924     -94.2000
snSSS120810      33.8235     -12.6000
snSSS120810      40.7439      2.20000
snSSS120810      58.9100     -6.40000
