# name         phase        index
sn2006jc      2.98338     -8.20000
sn2006jc      6.96123     -103.200
sn2006jc      8.95015     -33.6000
sn2006jc      10.4418     -9.20000
sn2006jc      11.4363     -10.8000
sn2006jc      12.4308     -6.60000
sn2006jc      13.4252     -9.40000
sn2006jc      14.4197     -12.8000
sn2006jc      14.9169     -7.40000
sn2006jc      15.9114     -38.4000
sn2006jc      17.9003     -4.60000
sn2006jc      20.3864     -2.20000
sn2006jc      22.3754      11.2000
sn2006jc      23.3698      2.60000
sn2006jc      31.8227     -11.2000
sn2006jc      33.3144      41.6000
sn2006jc      36.2978      83.8000
sn2006jc      38.1873      51.6000
sn2006jc      41.2701      99.6000
sn2006jc      45.2480      82.2000
sn2006jc      50.1208      162.000
sn2006jc      64.1427      92.6000
sn2006jc      65.6344      169.600
sn2006jc      67.1261      67.8000
sn2006jc      68.0211      39.8000
sn2006jc      73.0929      41.8000
sn2006jc      77.5679      257.600
sn2006jc      121.324      1124.80
sn2005la      4.90886     -50.2000
sn2005la      5.39974     -66.6000
sn2005la      6.38152     -39.6000
sn2005la      7.36329     -38.4000
sn2005la      8.34506      21.8000
sn2005la      9.81772      14.2000
sn2005la      10.7995     -19.2000
sn2005la      22.5808      52.8000
sn2007uy      13.3132      111.000
sn2007uy      11.3262      157.200
sn2007uy      10.4320      155.600
sn2007uy      5.26569      553.400
sn2007uy      3.37799      369.800
sn2007uy      29.3090      188.000
sn2007uy      61.7973      455.000
sn2007uy      70.7390      600.400
sn2007uy      91.6031      337.600
sn2007uy      156.977      608.600
sn2009er      8.01932     -3.00000
sn2009er      7.05314      15.2000
sn2009er      5.21739      4.60000
sn2009er      4.15459     -8.80000
sn2009er      10.0483      59.2000
sn2009er      11.7874      117.000
sn2009er      62.9952      224.000
sn2009er      63.9614      212.000
sn1998dt      11.3306      547.400
sn1998dt      12.3159      712.400
sn1998dt      15.1732      863.600
sn1998dt      7.40000      1106.60
sn1998dt      22.0701      893.000
sn1998dt      23.0554      788.400
sn1998dt      27.9818      628.000
sn1998dt      32.0000      968.200
sn2004dk     -16.9106      65.2000
sn2004dk      18.0048      493.600
sn2004dk      20.9890      374.800
sn2004dk      49.8365      627.200
sn2004gq     0.198679      804.800
sn2004gq    -0.695378      699.200
sn2004gq     -1.68878      557.000
sn2004gq     -4.66897      372.800
sn2004gq     -5.66236      328.200
sn2004gq     -6.65576      326.000
sn2004gq     -7.54982      261.200
sn2004gq     -8.64256      273.800
sn2004gq      16.0930      582.600
sn2004gq      17.1858      596.400
sn2004gq      18.0798      524.200
sn2004gq      21.1594      620.800
sn2004gq      25.0336      587.000
sn2004gq      41.9214      521.600
sn2004gq      69.7365      394.400
sn2004gq      70.7299      240.000
sn2004gq      72.7167      280.400
sn2004gq      78.5777      226.200
sn2004gq      84.5381      261.800
sn2004gq      89.5051      52.6000
sn2004gv      26.5691      712.800
sn2004gv      28.4318      1056.00
sn2004gv      32.5496      913.000
sn2004gv      61.8638      332.000
sn2005bf      31.4029      254.200
sn2005bf      30.6179      1000.00
sn2005bf      29.6365      808.800
sn2005bf      28.6552      900.400
sn2005bf      27.6738      777.800
sn2005bf      26.6925      814.000
sn2005bf      24.7298      740.600
sn2005bf      13.7388      742.800
sn2005bf      10.0097      283.000
sn2005bf      9.81341      309.600
sn2005bf      8.04700      210.200
sn2005bf      7.06566      292.000
sn2005bf      6.08432      164.400
sn2005bf      4.12163      243.000
sn2005bf      1.96268      91.6000
sn2005bf      33.5619      692.800
sn2005bf      34.5432      735.200
sn2005bf      35.3283      851.000
sn2005bf      37.4872      860.600
sn2005bf      38.4686      882.600
sn2005bf      40.4313      992.200
sn2005bf      54.9551      1085.60
sn2005bf      56.9178      502.400
sn2005bf      58.0954      1126.00
sn2005bf      60.8432      997.000
sn2005bf      62.0208      1004.60
sn2005bf      64.9648      1122.80
sn2005hg     0.293745      741.400
sn2005hg     -1.56664      741.200
sn2005hg     -2.64371      698.200
sn2005hg     -3.62286      594.800
sn2005hg     -4.60201      597.600
sn2005hg     -5.67907      610.800
sn2005hg     -6.65822      584.400
sn2005hg     -7.53946      619.800
sn2005hg     -8.51861      686.400
sn2005hg     -9.49776      584.600
sn2005hg     -11.4561      570.600
sn2005hg     -12.4352      698.600
sn2005hg      12.8269      841.400
sn2005hg      16.9393      925.400
sn2005hg      26.6329      774.000
sn2005hg      88.2215      66.4000
sn2006ep      3.34981      451.200
sn2006ep      19.0151      725.200
sn2006ep      21.1826      613.800
sn2006ep      22.8575      712.600
sn2006ep      55.2718      1127.60
sn2007C     -1.49164      479.000
sn2007C     -5.46934      533.000
sn2007C     -6.46376      850.800
sn2007C     0.497212      332.000
sn2007C      6.46376      576.400
sn2007C      27.3467      531.000
sn2007C      36.2965      499.400
sn2007C      41.1692      508.400
sn2007C      54.0967      444.800
sn2007C      60.0632      398.400
sn2007C      63.0465      340.400
sn2007C      70.0075      350.000
sn2007ag      3.23306      329.600
sn2007ag      12.9323      338.000
sn2007kj      6.19144      548.600
sn2007kj      11.0070      785.000
sn2007kj      99.5545      17.4000
sn2008D     -11.6242      34.2000
sn2008D     -12.6178      55.6000
sn2008D     -13.5119      40.2000
sn2008D     -14.6048      1.40000
sn2008D     -14.9029      5.20000
sn2008D     -16.4925     -12.0000
sn2008D     -19.6000      18.2000
sn2008D      4.27216      253.800
sn2008D      9.33914      338.400
sn2008D      12.0217      274.200
sn2008D      14.1081      276.800
sn2008D      40.0000      384.800
sn2008D      63.7843      91.6000
sn2008D      128.400      625.000
sn2009iz      6.31048      648.800
sn2009iz      21.1007      1023.20
sn2009iz      27.0167      965.200
sn2009iz      28.0027      864.600
sn2009iz      28.9887      913.800
sn2009iz      30.9608      1174.80
sn2009iz      36.7782      964.200
sn2009iz      57.4845      663.800
sn2009iz      63.4006      748.000
sn2009jf      21.0332      447.400
sn2009jf      20.0411      443.400
sn2009jf      17.0647      457.600
sn2009jf      13.0961      304.600
sn2009jf      23.0175      392.200
sn2009jf      28.9703      317.800
sn2009jf      44.8444      389.400
sn2009jf      49.9043      548.400
sn2009jf      53.6744      505.000
sn2009jf      74.5091      402.600
sn2009jf      78.4777      381.000
sn2009jf      80.5611      332.400
sn2009jf      100.305      87.6000
sn2009jf      106.257      104.600
