# name         phase        index
sn1997ef      11.1683     -640.600
sn1997ef      10.1799     -609.600
sn1997ef      9.19157     -619.200
sn1997ef      6.22655     -318.600
sn1997ef      5.33704     -313.400
sn1997ef      4.34870     -344.200
sn1997ef      3.45919     -362.600
sn1997ef      1.38368     -285.600
sn1997ef      28.0689     -246.400
sn1997ef      29.0572     -174.600
sn1997ef      31.0339     -118.800
sn1997ef      32.1211     -113.400
sn1997ef      33.9001     -72.8000
sn1997ef      34.9873     -71.8000
sn1997ef      36.8651     -45.8000
sn1997ef      41.9057     -22.2000
sn1997ef      61.5736     -16.6000
sn1997ef      47.7000     -21.8000
sn1997ef      90.3344     -6.20000
sn1997ef      95.1772     -4.60000
sn1997ef      104.000     -1.40000
sn1998bw    -0.694100     -381.000
sn1998bw     -1.68567     -212.800
sn1998bw     -2.67724     -191.400
sn1998bw     -5.15617     -132.600
sn1998bw     -6.54437     -180.400
sn1998bw      1.18989     -210.600
sn1998bw      3.37134     -216.600
sn1998bw      4.36292     -251.800
sn1998bw      6.34606     -359.600
sn1998bw      9.32077     -396.000
sn1998bw      11.3039     -532.600
sn1998bw      12.2955     -462.200
sn1998bw      13.6837     -94.6000
sn1998bw      19.7323     -42.2000
sn1998bw      22.1120     -180.600
sn1998bw      29.4497     -250.000
sn1998bw      44.8190     -249.400
sn1998bw      51.7600     -382.800
sn1998bw      63.6589     -217.800
sn1998bw      124.145     -16.6000
sn1998bw      199.306     -41.0000
sn2002ap      2.09559     -468.400
sn2002ap      1.09769     -504.400
sn2002ap    0.0997898     -303.000
sn2002ap      3.09348     -608.200
sn2002ap      4.98949     -506.600
sn2002ap      6.08718     -515.200
sn2002ap      7.08507     -574.800
sn2002ap      7.98318     -337.400
sn2002ap      9.08087     -279.400
sn2002ap      14.0704     -175.200
sn2002ap      14.9685     -488.400
sn2002ap      28.0409     -57.2000
sn2002ap      28.9390     -57.6000
sn2002ap      32.0325     -24.0000
sn2002ap      32.9306     -10.0000
sn2002ap      121.744     -17.0000
sn2002ap      130.725     -17.8000
sn2002ap      151.182     -20.0000
sn2002ap      154.674     -22.8000
sn2002ap      157.169     -17.4000
sn2002ap      183.613     -22.8000
sn2003jd      1.17788     -75.8000
sn2003jd     0.196313     -79.6000
sn2003jd    -0.785250     -77.6000
sn2003jd     -1.66866     -71.0000
sn2003jd      2.15944     -94.0000
sn2003jd      19.7294     -519.800
sn2003jd      20.7110     -466.800
sn2003jd      22.6741     -557.000
sn2003jd      23.6557     -488.600
sn2003jd      24.6372     -585.200
sn2003jd      27.6801     -606.200
sn2003jd      28.5635     -634.400
sn2003jd      34.5510     -690.600
sn2003jd      47.2132     -468.800
sn2003jd      48.1947     -476.600
sn2003jd      49.1763     -441.800
sn2003jd      50.1579     -401.400
sn2003jd      52.1210     -485.000
sn2003jd      55.1638     -119.000
sn2003jd      56.0472     -223.200
sn2003jd      61.9366     -31.2000
sn2003jd      73.7154     -27.0000
sn2006aj    0.0968054     -158.400
sn2006aj    -0.871249     -112.400
sn2006aj     -2.71055     -85.0000
sn2006aj     -3.67861     -68.8000
sn2006aj     -4.74347     -64.0000
sn2006aj     -5.71152     -55.8000
sn2006aj      2.03291     -272.000
sn2006aj      3.00097     -304.400
sn2006aj      198.742     -31.6000
sn2007D     -3.81183     -301.400
sn2007bg      4.06190     -39.0000
sn2007ru      3.05277     -43.8000
sn2007ru    0.0984766     -41.6000
sn2007ru      38.5043     -320.800
sn1990B      4.00000     -17.4000
sn1990B      21.8000     -5.60000
sn1990B      38.7000     -12.2000
sn1990B      64.5000    -0.400000
sn1990B      71.5000     -5.80000
sn1990B      100.200     -20.4000
sn1994I    -0.698926     -97.0000
sn1994I     -1.59755     -72.2000
sn1994I     -3.40000     -42.8000
sn1994I     -3.69432     -45.4000
sn1994I     -5.40000     -55.4000
sn1994I     -5.59141     -15.4000
sn1994I      1.29801     -100.800
sn1994I      2.49616     -331.400
sn1994I      2.60000     -84.4000
sn1994I      5.60000     -36.6000
sn1994I      8.60000     -13.4000
sn1994I      10.6000     -1.00000
sn1994I      21.3672      1.20000
sn1994I      22.3656     -17.0000
sn1994I      23.3641     -6.80000
sn1994I      24.2627     -11.4000
sn1994I      24.6000      2.20000
sn1994I      26.1598     -36.8000
sn1994I      28.2566     -7.40000
sn1994I      30.2535     -13.8000
sn1994I      31.6000     -5.40000
sn1994I      32.6000      3.80000
sn1994I      33.5000      7.80000
sn1994I      36.1445     -1.60000
sn1994I      37.1429     -8.80000
sn1994I      38.2412     -86.8000
sn1994I      40.1383     -1.40000
sn1994I      54.5000     -5.00000
sn1994I      56.2136     -5.00000
sn1994I      67.5000     -3.40000
sn1994I      95.5000     -20.0000
sn1994I      116.400     -23.6000
sn1994I      145.400     -33.2000
sn2004aw      3.34709     -102.800
sn2004aw      2.26421     -229.600
sn2004aw     0.984439     -112.800
sn2004aw     0.295332     -132.400
sn2004aw     -1.67355     -177.400
sn2004aw      4.33153     -152.400
sn2004aw      4.92220     -124.800
sn2004aw      5.90664     -127.800
sn2004aw      7.18641     -154.600
sn2004aw      7.87551     -218.600
sn2004aw      14.7666     -401.200
sn2004aw      20.6732     -136.000
sn2004aw      21.6577     -132.400
sn2004aw      25.5954     -93.8000
sn2004aw      27.5643     -103.600
sn2004aw      28.5487     -71.6000
sn2004aw      29.5332     -93.8000
sn2004aw      29.9270     -69.2000
sn2004aw      34.4554     -34.6000
sn2004aw      43.3153     -10.0000
sn2004aw      49.2220     -5.00000
sn2004aw      51.4862     -7.00000
sn2004aw      62.0197     -12.8000
sn2004aw      63.9886     -5.20000
sn2004dn      31.0165      4.00000
sn2004dn      34.0787     -4.00000
sn2004dn      52.7479      5.00000
sn2004dn      54.7234     -5.00000
sn2004fe      2.16169     -62.6000
sn2004fe      1.17911     -22.2000
sn2004fe     -2.75125     -39.4000
sn2004fe     -3.83210     -15.0000
sn2004fe     -4.91294     -56.4000
sn2004fe      3.14428     -32.6000
sn2004fe      4.12687     -41.2000
sn2004fe      5.10946     -174.000
sn2004fe      10.9067     -201.000
sn2004ge      6.29349     -54.4000
sn2005az     -2.77620     -172.400
sn2005az     -4.75920     -194.800
sn2005az     -6.64305     -150.200
sn2005az     -8.62605     -125.400
sn2005az     -9.61755     -79.2000
sn2005az    -0.694050     -196.200
sn2005az      2.28045     -219.200
sn2005az      15.1699     -59.6000
sn2005az      17.1529     -29.2000
sn2005az      20.0283     -14.6000
sn2005az      22.1104     -9.60000
sn2005az      23.9943     -13.6000
sn2005az      26.0764     -14.0000
sn2005az      28.0594     -8.00000
sn2005az      29.0509     -13.4000
sn2005az      30.1416     -1.40000
sn2005az      31.0339     -12.0000
sn2005az      46.7988     -2.20000
sn2005az      54.7308     -2.60000
sn2005az      59.7874     -3.40000
sn2005az      62.6628     -4.60000
sn2005az      84.4758      1.80000
sn2005kl      3.48851      40.6000
sn2005kl      15.4491     -15.6000
sn2005kl      77.2456     -4.20000
sn2005mf     -1.55831     -139.600
sn2005mf     -2.53225     -142.200
sn2005mf      4.28534     -173.400
sn2005mf      7.10977     -348.400
sn2007cl      1.36964     -36.0000
sn2007gr    -0.500000     -7.80000
sn2007gr     -3.50000     -26.0000
sn2007gr     -4.50000     -18.0000
sn2007gr     -5.50000     -56.2000
